Sl.no,ObservationDate,District,State/Region,Last update,Confirmed,Recovered,Deaths
298,9/5/2020,Tumakur,Karnataka,9/5/2020 10:45,4,18,18
299,9/5/2020,Chikkaballapur,Karnataka,9/5/2020 10:45,2,55,9
300,9/5/2020,Chitradurga,Karnataka,9/5/2020 10:45,6,14,0
301,7/5/2020,Dharwad,Karnataka,7/5/2020 10:45,2,58,0
302,7/5/2020,Ballari,Karnataka,7/5/2020 10:45,2,73,0
303,27/4/2020,Gadag,Karnataka,27/4/2020 10:45,0,20,20
304,5/5/2020,Haveri,Karnataka,5/5/2020 10:45,2,0,0
305,29/3/2020,Udupi,Karnataka,29/3/2020 10:45,0,100,0
306,18/3/2020,Kodagu,Karnataka,18/3/2020 10:45,0,100,0
307,9/5/2020,Bengaluru Urban,Karnataka,9/5/2020 10:45,28,50,4
308,13/4/2020,Bengaluru Rural,Karnataka,13/4/2020 10:45,0,100,0
309,29/4/2020,Mysore,Karnataka,29/4/2020 10:45,0,95,0
310,9/5/2020,Belagavi,Karnataka,9/5/2020 10:45,42,32,1
311,9/5/2020,Davangere,Karnataka,9/5/2020 10:45,37,3,5
312,10/5/2020,Kalburgi,Karnataka,10/5/2020 10:45,10,44,8
313,7/5/2020,Bagalkote,Karnataka,7/5/2020 10:45,18,35,2
314,9/5/2020,Uttar Kannada,Karnataka,9/5/2020 10:45,28,28,0
315,8/5/2020,Vijayapura,Karnataka,8/5/2020 10:45,2,63,6
316,9/5/2020,Dakshina Kannada,Karnataka,9/5/2020 10:45,7,28,12
317,3/5/2020,Mandya,Karnataka,3/5/2020 10:45,0,50,0
318,8/5/2020,Bidar,Karnataka,8/5/2020 10:45,10,48,4
319,9/5/2020,Tumakur,Karnataka,9/5/2020 10:45,4,18,18
320,10/5/2020,Shimogga,Karnataka,10/5/2020 10:45,8,0,0
321,9/5/2020,Chikkaballapur,Karnataka,9/5/2020 10:45,2,70,8
322,9/5/2020,Chitradurga,Karnataka,9/5/2020 10:45,6,14,0
323,7/5/2020,Dharwad,Karnataka,7/5/2020 10:45,2,58,0
324,7/5/2020,Ballari,Karnataka,7/5/2020 10:45,2,73,0
325,27/4/2020,Gadag,Karnataka,27/4/2020 10:45,0,80,20
326,5/5/2020,Haveri,Karnataka,5/5/2020 10:45,1,0,0
327,29/3/2020,Udupi,Karnataka,29/3/2020 10:45,0,100,0
328,18/3/2020,Kodagu,Karnataka,18/3/2020 10:45,0,100,0
329,11/5/2020,Bengaluru Urban,Karnataka,11/5/2020 10:45,25,50,3
330,13/4/2020,Bengaluru Rural,Karnataka,13/4/2020 10:45,0,100,0
331,29/4/2020,Mysore,Karnataka,29/4/2020 10:45,0,95,0
332,9/5/2020,Belagavi,Karnataka,9/5/2020 10:45,42,32,1
333,10/5/2020,Davangere,Karnataka,10/5/2020 10:45,39,3,5
334,10/5/2020,Kalburgi,Karnataka,10/5/2020 10:45,9,43,8
335,10/5/2020,Bagalkote,Karnataka,10/5/2020 10:45,18,34,2
336,9/5/2020,Uttar Kannada,Karnataka,9/5/2020 10:45,28,28,0
337,11/5/2020,Mandya,Karnataka,11/5/2020 10:45,2,47,0
338,10/5/2020,Vijayapura,Karnataka,10/5/2020 10:45,3,62,6
339,9/5/2020,Dakshina Kannada,Karnataka,9/5/2020 10:45,7,28,12
340,10/5/2020,Bidar,Karnataka,10/5/2020 10:45,5,44,3
341,9/5/2020,Tumakur,Karnataka,9/5/2020 10:45,4,18,18
342,10/5/2020,Shimogga,Karnataka,10/5/2020 10:45,8,0,0
343,9/5/2020,Chikkaballapur,Karnataka,9/5/2020 10:45,2,70,8
344,9/5/2020,Chitradurga,Karnataka,9/5/2020 10:45,6,14,0
345,7/5/2020,Dharwad,Karnataka,7/5/2020 10:45,2,58,0
346,10/5/2020,Haveri,Karnataka,10/5/2020 10:45,2,0,0
347,7/5/2020,Ballari,Karnataka,7/5/2020 10:45,1,73,0
348,27/4/2020,Gadag,Karnataka,27/4/2020 10:45,0,80,20
349,29/3/2020,Udupi,Karnataka,29/3/2020 10:45,0,100,0
350,18/3/2020,Kodagu,Karnataka,18/3/2020 10:45,0,100,0
351,12/5/2020,Bengaluru Urban,Karnataka,12/5/2020 10:45,27,50,3
352,13/4/2020,Bengaluru Rural,Karnataka,13/4/2020 10:45,0,100,0
353,29/4/2020,Mysore,Karnataka,29/4/2020 10:45,0,95,0
354,12/5/2020,Davangere,Karnataka,12/5/2020 10:45,39,2,4
355,9/5/2020,Belagavi,Karnataka,9/5/2020 10:45,42,32,1
356,11/5/2020,Bagalkote,Karnataka,11/5/2020 10:45,20,40,1
357,11/5/2020,Kalburgi,Karnataka,11/5/2020 10:45,9,60,8
358,9/5/2020,Uttar Kannada,Karnataka,9/5/2020 10:45,27,28,0
359,11/5/2020,Mandya,Karnataka,11/5/2020 10:45,3,45,0
360,11/5/2020,Dakshina Kannada,Karnataka,11/5/2020 10:45,5,26,11
361,11/5/2020,Bidar,Karnataka,11/5/2020 10:45,7,45,3
362,10/5/2020,Vijayapura,Karnataka,10/5/2020 10:45,3,68,6
363,11/5/2020,Dharwad,Karnataka,11/5/2020 10:45,10,33,0
364,9/5/2020,Tumakur,Karnataka,9/5/2020 10:45,4,18,18
365,11/5/2020,Chikkaballapur,Karnataka,11/5/2020 10:45,3,67,8
366,10/5/2020,Shimogga,Karnataka,10/5/2020 10:45,8,0,0
367,9/5/2020,Chitradurga,Karnataka,9/5/2020 10:45,6,14,0
368,12/5/2020,Hassan,Karnataka,12/5/2020 10:45,5,0,0
369,12/5/2020,Kolar,Karnataka,12/5/2020 10:45,5,0,0
370,12/5/2020,Gadag,Karnataka,12/5/2020 10:45,3,50,12
371,11/5/2020,Ballari,Karnataka,11/5/2020 10:45,2,69,0
372,10/5/2020,Haveri,Karnataka,10/5/2020 10:45,1,0,0
373,11/5/2020,Yadigir,Karnataka,11/5/2020 10:45,2,0,0
374,29/3/2020,Udupi,Karnataka,29/3/2020 10:45,0,100,0
375,18/3/2020,Kodagu,Karnataka,18/3/2020 10:45,0,100,0
376,24/4/2020,South Andaman,Andaman & Nicobar Islands,24/4/2020 10:45,0,100,0
377,25/4/2020,South Andaman,Andaman & Nicobar Islands,25/4/2020 10:45,0,100,0
378,26/4/2020,South Andaman,Andaman & Nicobar Islands,26/4/2020 10:45,0,100,0
379,27/4/2020,South Andaman,Andaman & Nicobar Islands,27/4/2020 10:45,0,100,0
380,28/4/2020,South Andaman,Andaman & Nicobar Islands,28/4/2020 10:45,1,100,0
381,29/4/2020,South Andaman,Andaman & Nicobar Islands,29/4/2020 10:45,1,100,0
382,30/4/2020,South Andaman,Andaman & Nicobar Islands,30/4/2020 10:45,5,100,0
383,1/5/2020,South Andaman,Andaman & Nicobar Islands,1/5/2020 10:45,10,100,0
384,2/5/2020,South Andaman,Andaman & Nicobar Islands,2/5/2020 10:45,10,100,0
385,3/5/2020,South Andaman,Andaman & Nicobar Islands,3/5/2020 10:45,11,100,0
386,4/5/2020,South Andaman,Andaman & Nicobar Islands,4/5/2020 10:45,20,100,0
387,5/5/2020,South Andaman,Andaman & Nicobar Islands,5/5/2020 10:45,21,100,0
388,6/5/2020,South Andaman,Andaman & Nicobar Islands,6/5/2020 10:45,22,100,0
389,7/5/2020,South Andaman,Andaman & Nicobar Islands,7/5/2020 10:45,22,100,0
390,8/5/2020,South Andaman,Andaman & Nicobar Islands,8/5/2020 10:45,25,100,0
391,9/5/2020,South Andaman,Andaman & Nicobar Islands,9/5/2020 10:45,30,100,0
392,10/5/2020,South Andaman,Andaman & Nicobar Islands,10/5/2020 10:45,33,100,0
393,24/4/2020,Anantapur,Andhra Pradesh,24/4/2020 10:45,6,33,2
394,24/4/2020,Chitoor,Andhra Pradesh,24/4/2020 10:45,7,0,5
395,23/4/2020,East Godavar,Andhra Pradesh,23/4/2020 10:45,4,10,6
396,22/4/2020,Guntur,Andhra Pradesh,22/4/2020 10:45,58,28,5
397,24/4/2020,Kadappa,Andhra Pradesh,24/4/2020 10:45,9,3,5
398,22/4/2020,Krishna,Andhra Pradesh,22/4/2020 10:45,44,60,1
399,24/4/2020,Nellore,Andhra Pradesh,24/4/2020 10:45,49,0,1
400,23/4/2020,Prakasam,Andhra Pradesh,23/4/2020 10:45,28,5,2
401,23/4/2020,Kurnool,Andhra Pradesh,23/4/2020 10:45,99,28,6
402,20/4/2020,VIsakhapatnam,Andhra Pradesh,23/4/2020 10:45,3,0,3
403,22/4/2020,West Godavari,Andhra Pradesh,22/4/2020 10:45,13,11,0
404,25/4/2020,Anantapur,Andhra Pradesh,25/4/2020 10:45,6,33,2
405,24/4/2020,Chitoor,Andhra Pradesh,24/4/2020 10:45,8,0,7
406,23/4/2020,East Godavar,Andhra Pradesh,23/4/2020 10:45,6,10,6
407,25/4/2020,Guntur,Andhra Pradesh,25/4/2020 10:45,97,28,5
408,25/4/2020,Kadappa,Andhra Pradesh,25/4/2020 10:45,13,3,5
409,25/4/2020,Krishna,Andhra Pradesh,25/4/2020 10:45,48,62,1
410,25/4/2020,Nellore,Andhra Pradesh,25/4/2020 10:45,50,0,1
411,24/4/2020,Prakasam,Andhra Pradesh,24/4/2020 10:45,37,5,2
412,23/4/2020,Kurnool,Andhra Pradesh,23/4/2020 10:45,113,29,6
413,20/4/2020,VIsakhapatnam,Andhra Pradesh,20/4/2020 10:45,6,0,3
414,22/4/2020,West Godavari,Andhra Pradesh,22/4/2020 10:45,18,11,1
415,25/4/2020,Anantapur,Andhra Pradesh,25/4/2020 10:45,10,33,2
416,24/4/2020,Chitoor,Andhra Pradesh,24/4/2020 10:45,8,0,7
417,23/4/2020,East Godavar,Andhra Pradesh,23/4/2020 10:45,6,10,6
418,25/4/2020,Guntur,Andhra Pradesh,25/4/2020 10:45,107,28,5
419,25/4/2020,Kadappa,Andhra Pradesh,25/4/2020 10:45,14,3,5
420,24/4/2020,Krishna,Andhra Pradesh,24/4/2020 10:45,49,65,1
421,25/4/2020,Nellore,Andhra Pradesh,25/4/2020 10:45,52,0,1
422,24/4/2020,Prakasam,Andhra Pradesh,24/4/2020 10:45,43,5,2
423,23/4/2020,Kurnool,Andhra Pradesh,23/4/2020 10:45,119,29,6
424,20/4/2020,VIsakhapatnam,Andhra Pradesh,20/4/2020 10:45,6,0,3
425,22/4/2020,West Godavari,Andhra Pradesh,22/4/2020 10:45,20,11,1
426,26/4/2020,Anantapur,Andhra Pradesh,26/4/2020 10:45,12,34,2
427,25/4/2020,Chitoor,Andhra Pradesh,25/4/2020 10:45,10,0,7
428,26/4/2020,East Godavar,Andhra Pradesh,26/4/2020 10:45,6,10,6
429,27/4/2020,Guntur,Andhra Pradesh,27/4/2020 10:45,107,28,6
430,26/4/2020,Kadappa,Andhra Pradesh,26/4/2020 10:45,15,5,5
431,26/4/2020,Krishna,Andhra Pradesh,26/4/2020 10:45,55,65,1
432,26/4/2020,Nellore,Andhra Pradesh,26/4/2020 10:45,56,0,1
433,25/4/2020,Prakasam,Andhra Pradesh,25/4/2020 10:45,43,5,4
434,23/4/2020,Kurnool,Andhra Pradesh,23/4/2020 10:45,123,29,6
435,22/4/2020,VIsakhapatnam,Andhra Pradesh,22/4/2020 10:45,10,0,3
436,24/4/2020,West Godavari,Andhra Pradesh,24/4/2020 10:45,25,11,1
437,27/4/2020,Anantapur,Andhra Pradesh,27/4/2020 10:45,12,34,2
438,28/4/2020,Chitoor,Andhra Pradesh,28/4/2020 10:45,11,0,7
439,25/4/2020,East Godavar,Andhra Pradesh,25/4/2020 10:45,6,10,6
440,27/4/2020,Guntur,Andhra Pradesh,27/4/2020 10:45,110,28,6
441,26/4/2020,Kadappa,Andhra Pradesh,26/4/2020 10:45,20,5,5
442,26/4/2020,Krishna,Andhra Pradesh,26/4/2020 10:45,57,65,1
443,26/4/2020,Nellore,Andhra Pradesh,26/4/2020 10:45,56,0,1
444,25/4/2020,Prakasam,Andhra Pradesh,25/4/2020 10:45,43,5,4
445,23/4/2020,Kurnool,Andhra Pradesh,23/4/2020 10:45,126,29,6
446,22/4/2020,VIsakhapatnam,Andhra Pradesh,22/4/2020 10:45,12,0,3
447,27/4/2020,West Godavari,Andhra Pradesh,27/4/2020 10:45,28,17,2
448,27/4/2020,Anantapur,Andhra Pradesh,27/4/2020 10:45,14,26,2
449,28/4/2020,Chitoor,Andhra Pradesh,28/4/2020 10:45,12,0,7
450,28/4/2020,East Godavar,Andhra Pradesh,28/4/2020 10:45,6,10,7
451,26/4/2020,Guntur,Andhra Pradesh,26/4/2020 10:45,110,28,6
452,26/4/2020,Kadappa,Andhra Pradesh,26/4/2020 10:45,24,5,5
453,27/4/2020,Krishna,Andhra Pradesh,27/4/2020 10:45,60,66,1
454,26/4/2020,Nellore,Andhra Pradesh,26/4/2020 10:45,58,0,1
455,24/4/2020,Prakasam,Andhra Pradesh,24/4/2020 10:45,43,5,4
456,29/4/2020,Kurnool,Andhra Pradesh,29/4/2020 10:45,132,29,6
457,29/4/2020,VIsakhapatnam,Andhra Pradesh,29/4/2020 10:45,14,0,3
458,27/4/2020,West Godavari,Andhra Pradesh,27/4/2020 10:45,28,17,2
459,30/4/2020,Anantapur,Andhra Pradesh,30/4/2020 10:45,18,35,2
460,29/4/2020,Chitoor,Andhra Pradesh,29/4/2020 10:45,15,0,7
461,30/4/2020,East Godavar,Andhra Pradesh,30/4/2020 10:45,10,10,7
462,29/4/2020,Guntur,Andhra Pradesh,29/4/2020 10:45,114,29,6
463,29/4/2020,Kadappa,Andhra Pradesh,29/4/2020 10:45,27,6,5
464,27/4/2020,Krishna,Andhra Pradesh,27/4/2020 10:45,64,66,1
465,26/4/2020,Nellore,Andhra Pradesh,26/4/2020 10:45,65,0,1
466,29/4/2020,Prakasam,Andhra Pradesh,29/4/2020 10:45,43,5,4
467,29/4/2020,Kurnool,Andhra Pradesh,29/4/2020 10:45,140,33,6
468,28/4/2020,VIsakhapatnam,Andhra Pradesh,28/4/2020 10:45,14,0,4
469,24/4/2020,West Godavari,Andhra Pradesh,24/4/2020 10:45,30,17,2
470,30/4/2020,Anantapur,Andhra Pradesh,30/4/2020 10:45,18,35,2
471,30/4/2020,Chitoor,Andhra Pradesh,30/4/2020 10:45,15,0,7
472,1/5/2020,East Godavar,Andhra Pradesh,1/5/2020 10:45,11,12,7
473,30/4/2020,Guntur,Andhra Pradesh,30/4/2020 10:45,114,29,6
474,30/4/2020,Kadappa,Andhra Pradesh,30/4/2020 10:45,27,6,5
475,26/4/2020,Krishna,Andhra Pradesh,26/4/2020 10:45,67,67,1
476,29/4/2020,Nellore,Andhra Pradesh,29/4/2020 10:45,65,0,1
477,28/4/2020,Prakasam,Andhra Pradesh,28/4/2020 10:45,43,5,4
478,1/5/2020,Kurnool,Andhra Pradesh,1/5/2020 10:45,145,33,6
479,27/4/2020,VIsakhapatnam,Andhra Pradesh,27/4/2020 10:45,14,0,4
480,22/4/2020,West Godavari,Andhra Pradesh,22/4/2020 10:45,32,17,2
481,3/5/2020,Anantapur,Andhra Pradesh,3/5/2020 10:45,18,38,3
482,29/4/2020,Chitoor,Andhra Pradesh,29/4/2020 10:45,17,0,7
483,13/4/2020,East Godavar,Andhra Pradesh,13/4/2020 10:45,11,12,7
484,1/5/2020,Guntur,Andhra Pradesh,1/5/2020 10:45,114,30,6
485,3/5/2020,Kadappa,Andhra Pradesh,3/5/2020 10:45,27,6,5
486,1/5/2020,Krishna,Andhra Pradesh,1/5/2020 10:45,70,68,1
487,2/5/2020,Nellore,Andhra Pradesh,2/5/2020 10:45,65,0,1
488,30/4/2020,Prakasam,Andhra Pradesh,30/4/2020 10:45,43,5,4
489,30/4/2020,Kurnool,Andhra Pradesh,30/4/2020 10:45,145,33,6
490,1/5/2020,VIsakhapatnam,Andhra Pradesh,1/5/2020 10:45,18,0,4
491,1/5/2020,West Godavari,Andhra Pradesh,1/5/2020 10:45,32,20,2
492,4/5/2020,Anantapur,Andhra Pradesh,4/5/2020 10:45,18,38,3
493,29/4/2020,Chitoor,Andhra Pradesh,29/4/2020 10:45,20,0,7
494,13/4/2020,East Godavar,Andhra Pradesh,13/4/2020 10:45,14,12,10
495,1/5/2020,Guntur,Andhra Pradesh,1/5/2020 10:45,117,30,6
496,4/5/2020,Kadappa,Andhra Pradesh,4/5/2020 10:45,27,6,5
497,3/5/2020,Krishna,Andhra Pradesh,3/5/2020 10:45,72,68,1
498,4/5/2020,Nellore,Andhra Pradesh,4/5/2020 10:45,65,0,1
499,2/5/2020,Prakasam,Andhra Pradesh,2/5/2020 10:45,43,7,5
500,3/5/2020,Kurnool,Andhra Pradesh,3/5/2020 10:45,150,33,6
501,30/4/2020,VIsakhapatnam,Andhra Pradesh,30/4/2020 10:45,18,0,4
502,4/5/2020,West Godavari,Andhra Pradesh,4/5/2020 10:45,35,20,2
503,4/5/2020,Anantapur,Andhra Pradesh,4/5/2020 10:45,20,38,3
504,29/4/2020,Chitoor,Andhra Pradesh,29/4/2020 10:45,20,0,7
505,13/4/2020,East Godavar,Andhra Pradesh,13/4/2020 10:45,15,12,10
506,1/5/2020,Guntur,Andhra Pradesh,1/5/2020 10:45,117,35,6
507,4/5/2020,Kadappa,Andhra Pradesh,4/5/2020 10:45,27,6,5
508,5/5/2020,Krishna,Andhra Pradesh,5/5/2020 10:45,76,68,2
509,3/5/2020,Nellore,Andhra Pradesh,3/5/2020 10:45,65,0,1
510,4/5/2020,Prakasam,Andhra Pradesh,4/5/2020 10:45,43,7,5
511,3/5/2020,Kurnool,Andhra Pradesh,3/5/2020 10:45,152,33,6
512,5/5/2020,VIsakhapatnam,Andhra Pradesh,5/5/2020 10:45,18,0,4
513,4/5/2020,West Godavari,Andhra Pradesh,4/5/2020 10:45,35,20,2
514,5/5/2020,Anantapur,Andhra Pradesh,5/5/2020 10:45,24,38,3
515,29/4/2020,Chitoor,Andhra Pradesh,29/4/2020 10:45,20,0,7
516,13/4/2020,East Godavar,Andhra Pradesh,13/4/2020 10:45,15,14,10
517,5/5/2020,Guntur,Andhra Pradesh,5/5/2020 10:45,120,35,6
518,5/5/2020,Kadappa,Andhra Pradesh,5/5/2020 10:45,30,6,7
519,1/5/2020,Krishna,Andhra Pradesh,1/5/2020 10:45,76,68,2
520,5/5/2020,Nellore,Andhra Pradesh,5/5/2020 10:45,67,0,1
521,6/5/2020,Prakasam,Andhra Pradesh,6/5/2020 10:45,43,7,5
522,3/5/2020,Kurnool,Andhra Pradesh,3/5/2020 10:45,156,33,6
523,5/5/2020,VIsakhapatnam,Andhra Pradesh,5/5/2020 10:45,20,0,6
524,4/5/2020,West Godavari,Andhra Pradesh,4/5/2020 10:45,35,20,2
525,6/5/2020,Anantapur,Andhra Pradesh,6/5/2020 10:45,24,40,3
526,13/4/2020,Chitoor,Andhra Pradesh,13/4/2020 10:45,26,0,7
527,29/4/2020,East Godavar,Andhra Pradesh,29/4/2020 10:45,15,14,10
528,6/5/2020,Guntur,Andhra Pradesh,6/5/2020 10:45,120,35,6
529,6/5/2020,Kadappa,Andhra Pradesh,6/5/2020 10:45,32,6,7
530,6/5/2020,Krishna,Andhra Pradesh,6/5/2020 10:45,76,71,2
531,7/5/2020,Nellore,Andhra Pradesh,7/5/2020 10:45,67,0,1
532,6/5/2020,Prakasam,Andhra Pradesh,6/5/2020 10:45,43,7,5
533,3/5/2020,Kurnool,Andhra Pradesh,3/5/2020 10:45,157,33,6
534,5/5/2020,VIsakhapatnam,Andhra Pradesh,5/5/2020 10:45,20,0,6
535,4/5/2020,West Godavari,Andhra Pradesh,4/5/2020 10:45,35,20,2
536,8/5/2020,Anantapur,Andhra Pradesh,8/5/2020 10:45,26,40,5
537,13/4/2020,Chitoor,Andhra Pradesh,13/4/2020 10:45,27,0,7
538,29/4/2020,East Godavar,Andhra Pradesh,29/4/2020 10:45,15,14,10
539,8/5/2020,Guntur,Andhra Pradesh,8/5/2020 10:45,124,37,6
540,6/5/2020,Kadappa,Andhra Pradesh,6/5/2020 10:45,33,8,7
541,7/5/2020,Krishna,Andhra Pradesh,7/5/2020 10:45,76,71,2
542,7/5/2020,Nellore,Andhra Pradesh,7/5/2020 10:45,67,0,1
543,6/5/2020,Prakasam,Andhra Pradesh,6/5/2020 10:45,43,7,5
544,3/5/2020,Kurnool,Andhra Pradesh,3/5/2020 10:45,158,33,6
545,5/5/2020,VIsakhapatnam,Andhra Pradesh,5/5/2020 10:45,20,0,6
546,8/5/2020,West Godavari,Andhra Pradesh,8/5/2020 10:45,35,20,2
547,8/5/2020,Anantapur,Andhra Pradesh,8/5/2020 10:45,28,40,5
548,13/4/2020,Chitoor,Andhra Pradesh,13/4/2020 10:45,27,0,9
549,29/4/2020,East Godavar,Andhra Pradesh,29/4/2020 10:45,20,15,10
550,8/5/2020,Guntur,Andhra Pradesh,8/5/2020 10:45,127,37,6
551,6/5/2020,Kadappa,Andhra Pradesh,6/5/2020 10:45,33,8,7
552,7/5/2020,Krishna,Andhra Pradesh,7/5/2020 10:45,76,71,2
553,7/5/2020,Nellore,Andhra Pradesh,7/5/2020 10:45,67,0,1
554,8/5/2020,Prakasam,Andhra Pradesh,8/5/2020 10:45,43,7,5
555,9/5/2020,Kurnool,Andhra Pradesh,9/5/2020 10:45,158,33,7
556,9/5/2020,VIsakhapatnam,Andhra Pradesh,9/5/2020 10:45,20,0,6
557,3/5/2020,West Godavari,Andhra Pradesh,3/5/2020 10:45,35,22,2
558,8/5/2020,Anantapur,Andhra Pradesh,8/5/2020 10:45,28,40,5
559,9/5/2020,Chitoor,Andhra Pradesh,9/5/2020 10:45,28,0,9
560,13/4/2020,East Godavar,Andhra Pradesh,13/4/2020 10:45,20,16,10
561,29/4/2020,Guntur,Andhra Pradesh,29/4/2020 10:45,127,37,6
562,9/5/2020,Kadappa,Andhra Pradesh,9/5/2020 10:45,37,8,7
563,9/5/2020,Krishna,Andhra Pradesh,9/5/2020 10:45,76,71,2
564,10/5/2020,Nellore,Andhra Pradesh,10/5/2020 10:45,67,0,1
565,7/5/2020,Prakasam,Andhra Pradesh,7/5/2020 10:45,43,7,5
566,9/5/2020,Kurnool,Andhra Pradesh,9/5/2020 10:45,158,33,7
567,8/5/2020,VIsakhapatnam,Andhra Pradesh,8/5/2020 10:45,20,0,6
568,9/5/2020,West Godavari,Andhra Pradesh,9/5/2020 10:45,35,22,2
569,11/5/2020,Anantapur,Andhra Pradesh,11/5/2020 10:45,29,42,5
570,13/4/2020,Chitoor,Andhra Pradesh,13/4/2020 10:45,28,0,9
571,29/4/2020,East Godavar,Andhra Pradesh,29/4/2020 10:45,24,16,11
572,9/5/2020,Guntur,Andhra Pradesh,9/5/2020 10:45,128,38,6
573,10/5/2020,Kadappa,Andhra Pradesh,10/5/2020 10:45,37,8,7
574,10/5/2020,Krishna,Andhra Pradesh,10/5/2020 10:45,76,71,2
575,10/5/2020,Nellore,Andhra Pradesh,10/5/2020 10:45,67,0,1
